po_number	product_code	customer_name	ordered_qty_pieces	customer_amount	po_created_date	po_received_date	delivery_date	delivery_number	status
3001962377	43606072	Kenvue	7776	3393.45	2025-08-18	2025-08-19	2025-09-02	16368	Completed
3001961373	43619053	Kenvue	5760	4141.96	2025-08-18	2025-08-19	2025-09-01	16365	Completed
3001961378	79634928	Kenvue	3840	7409.97	2025-08-18	2025-08-19	2025-09-01	16364	Completed
3001962380	79602628	Kenvue	3456	2067.07	2025-08-18	2025-08-19	2025-09-02	16369	Completed
3001961374	43619052	Kenvue	5760	4372.01	2025-08-18	2025-08-19	2025-09-05	16382	Completed
3001962375	43607074	Kenvue	3600	8350.70	2025-08-18	2025-08-19	2025-09-04	16379	Completed
3001962373	79640891	Kenvue	3600	3328.52	2025-08-18	2025-08-19	2025-09-02	16370	Completed
3001962381	79618895	Kenvue	2400	6679.44	2025-08-18	2025-08-19	2025-09-12	16407	Completed
3001962378	43619050	Kenvue	3120	2419.53	2025-08-18	2025-08-19	2025-09-05	16381	Completed
3001962374	79640962	Kenvue	1200	1392.72	2025-08-18	2025-08-19	2025-09-11	16403	Completed
3001962376	79640890	Kenvue	2136	1973.51	2025-08-18	2025-08-19	2025-09-08	16391	Completed
3001962382	43632035	Kenvue	6912	3651.19	2025-08-18	2025-08-19	2025-09-11	16403	Completed
3001962379	79618122	Kenvue	5760	6588.00	2025-08-18	2025-08-19	2025-09-17	16432	Completed
3001962610	43630034	Kenvue	4992	3913.08	2025-08-20	2025-08-21	2025-09-10	16400	Completed
3001962955	79641157	Kenvue	1440	1705.82	2025-08-25	2025-08-26	2025-09-08	16392	Completed
3001962957	79641975	Kenvue	4800	11239.54	2025-08-25	2025-08-26	2025-09-17	16430	Completed
3001962956	79641975	Kenvue	4800	11239.54	2025-08-25	2025-08-26	2025-09-15	16414	Completed
3001962946	79602665	Kenvue	3456	2170.85	2025-08-25	2025-08-26	2025-09-18	16440	Completed
3001962951	43607073	Kenvue	6000	13101.78	2025-08-25	2025-08-26	2025-09-22	16458	Completed
3001962947	43020063	Kenvue	15552	8542.25	2025-08-25	2025-08-26	2025-09-10	16401	Completed
3001962954	79634929	Kenvue	4872	10039.78	2025-08-25	2025-08-26	2025-09-12	16406	Completed
3001962953	79622703	Kenvue	4608	3209.33	2025-08-25	2025-08-26	2025-09-04	16389	Completed
3001962952	79634941	Kenvue	960	2427.58	2025-08-25	2025-08-26	2025-09-08	16390	Completed
3001962948	43630031	Kenvue	4608	4314.15	2025-08-25	2025-08-26	2025-09-16	16428	Completed
3001962950	79641566	Kenvue	4320	719.50	2025-08-25	2025-08-26			PO Cancelled
3001962949	79634913	Kenvue	2040	3985.53	2025-08-25	2025-08-26	2025-09-16	16427	Completed
3001963917	79642253	Kenvue	9216	6228.17	2025-09-02	2025-09-02	2025-09-23	16461	Completed
3001963792	79643216	Kenvue	10880	5405.29	2025-09-02	2025-09-02	2025-09-23	16459	Completed
3001963920	79634942	Kenvue	1704	4390.75	2025-09-02	2025-09-02	2025-09-16	16426	Completed
3001963919	79615407	Kenvue	576	2084.31	2025-09-02	2025-09-02	2025-09-23	16460	Completed
3001963778	79602665	Kenvue	6912	4341.70	2025-09-02	2025-09-02	2025-09-24	16464	Completed
3001963782	79640293	Kenvue	8400	9951.65	2025-09-02	2025-09-02	2025-09-24	16467	Completed
3001963922	43619053	Kenvue	5760	4141.96	2025-09-02	2025-09-02	2025-09-18	16439	Completed
3001963791	43630033	Kenvue	6240	4816.47	2025-09-02	2025-09-02	2025-09-17	16431	Completed
3001963783	79618894	Kenvue	1200	3040.13	2025-09-02	2025-09-02	2025-09-25	16475	Completed
3001963785	79601072	Kenvue	5760	4579.03	2025-09-02	2025-09-02	2025-09-19	16448	Completed
3001963789	79634321	Kenvue	2400	4391.50	2025-09-02	2025-09-02	2025-09-18	16441	Completed
3001963788	79601073	Kenvue	2880	2335.59	2025-09-02	2025-09-02	2025-09-26	16480	Completed
3001963779	43020063	Kenvue	15552	8542.25	2025-09-02	2025-09-02	2025-09-29	16483	Completed
3001963918	79634940	Kenvue	2304	4887.13	2025-09-02	2025-09-02	2025-09-26	16481	Completed
3001963790	4360903803	Kenvue	6336	4363.92	2025-09-02	2025-09-02	2025-09-19	16449	Completed
3001963787	43710032	Kenvue	1620	5545.52	2025-09-02	2025-09-02	2025-09-25	16476	Completed
3001964570	79634941	Kenvue	2688	6797.23	2025-09-08	2025-09-09	2025-09-24	16465	Completed
3001964596	43606072	Kenvue	20520	8954.93	2025-09-08	2025-09-09	2025-09-30	16494	Completed
3001964592	43619053	Kenvue	11520	8283.92	2025-09-08	2025-09-09	2025-09-30	16495	Completed
3001964595	43619052	Kenvue	5760	4372.01	2025-09-08	2025-09-09	2025-09-29	16485	Completed
